iter	Passed	Remaining
350	796	1473
351	798	1469
352	800	1467
353	802	1464
354	805	1462
355	807	1460
356	809	1457
357	810	1454
358	812	1451
359	814	1448
360	816	1445
361	818	1442
362	820	1440
363	823	1438
364	825	1435
365	827	1433
366	829	1431
367	832	1429
368	833	1424
369	835	1421
370	838	1422
371	841	1420
372	844	1419
373	847	1418
374	850	1417
375	853	1416
376	856	1414
377	858	1412
378	861	1411
379	865	1411
380	868	1410
381	871	1409
382	873	1407
383	876	1406
384	879	1404
385	882	1403
386	884	1401
387	887	1399
388	889	1397
389	892	1395
390	895	1394
391	897	1392
392	900	1390
393	903	1390
394	906	1388
395	908	1386
396	911	1383
397	913	1381
398	916	1379
399	918	1377
400	920	1375
401	923	1373
402	925	1370
403	928	1369
404	930	1367
405	932	1364
406	935	1362
407	938	1361
408	940	1358
409	942	1355
410	944	1354
411	948	1353
412	951	1351
413	953	1349
414	955	1346
415	957	1344
416	960	1342
417	962	1340
418	965	1338
419	967	1335
420	970	1334
421	972	1332
422	974	1329
423	977	1327
424	979	1325
425	983	1324
426	985	1322
427	987	1320
428	990	1317
429	992	1315
430	994	1313
431	996	1310
432	999	1308
433	1001	1306
434	1004	1304
435	1006	1301
436	1008	1299
437	1010	1297
438	1013	1294
439	1014	1291
440	1016	1288
441	1018	1285
442	1019	1282
443	1020	1278
444	1022	1274
445	1023	1271
446	1024	1267
447	1025	1263
448	1026	1260
449	1027	1256
450	1028	1252
451	1029	1248
